model_specification,horizon,dependent_variable,sample_size,event_count,r_squared,adjusted_r_squared,covariance_estimator,sample_label,status,term,coefficient,standard_error,ci_lower,ci_upper,p_value_context_only
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,0.002582032288156084,0.01480899551074044,-0.026443065560110522,0.03160713013642269,0.8615859532964243
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,0.03644015914380172,0.03388700074817469,-0.029977141866702542,0.10285746015430598,0.28222105786412033
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.005817170651717732,0.01175813184273476,-0.028862685588951442,0.01722834428551598,0.6207865139914375
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.0058860554063020635,0.00819138259699483,-0.010168759467395982,0.021940870280000108,0.47240788864655503
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitudeSquared,-0.0002345163220790508,0.001213305684281054,-0.002612551765507642,0.0021435191213495406,0.8467341382570612
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,const,-0.004792836162779241,0.02121112337563355,-0.04636587405065666,0.036780201725098174,0.8212336045829532
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,4.2956994810562296e-05,0.013781052267190992,-0.026967409117947837,0.027053323107568965,0.9975129136172474
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.0010112142149673725,0.004071378413354812,-0.008990969272576633,0.006968540842641888,0.8038470107727067
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.08745109676531151,0.07042468448385825,-0.22548094197627044,0.050578748445647415,0.21432229223878663
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.004233973330038651,0.025157826105470578,-0.05354240642608255,0.04507445976600525,0.8663500506751414
primary_linear,10,convergence,114,114,0.034465130871358496,-0.010235557514226779,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.021411579777483786,0.01538820531186111,-0.00874874842047194,0.05157190797543951,0.16409567808608783
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,const,1.1853586759506471e-05,0.04449002462183009,-0.0871869923433277,0.08721069951684672,0.999787417655215
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,9.031963493793226e-05,0.013849012974811737,-0.027053247017120988,0.027233886286996856,0.9947964427837848
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.002588766981763146,0.013614502650174817,-0.029272701843530907,0.024095167880004615,0.8491933572058693
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.08670159493145567,0.0718495668831693,-0.2275241583272693,0.054120968464357946,0.22754382471775692
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.004283584644847373,0.025140512150900893,-0.05355808301350473,0.04499091372380999,0.8647067898133343
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.021451689980556125,0.015506379161085156,-0.0089402547057932,0.05184363466690545,0.1665389887077512
targeted_shock_quadratic,10,convergence,114,114,0.034635783334405756,-0.019496789562730266,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitudeSquared,0.00010403958545593289,0.0007853089479516627,-0.0014351376692663658,0.0016432168401782315,0.8946027719947071
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.004036224955187098,0.01636323164103532,-0.02803511973192838,0.03610756964230258,0.8051680432560724
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.011357145065621925,0.01177470482253371,-0.03443514244637808,0.011720852315134233,0.3347764866362781
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.0012990600544259248,0.0031164924390836863,-0.007407272993121338,0.004809152884269488,0.6767998208912578
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.09732753528132643,0.06171504629269034,-0.21828680331922168,0.023631732756568824,0.11478468606661289
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.011068367165948178,0.02109160496228788,-0.05240715326817871,0.030270418936282354,0.5997389477127133
primary_linear,10,initiator_reversal,114,114,0.0360198355607082,-0.008608875755925727,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.010438675904539164,0.012308656869155683,-0.013685848257067514,0.03456320006614584,0.3963956727552598
targeted_shock_quadratic,10,initiator_reversal,114,114,0.03709270365483042,-0.016902098009384803,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.013751485492484379,0.03614284085412786,-0.05708718088056912,0.08459015186553788,0.7035920680565884
