horizon,return_specification,peer_definition,direction,outcome,sample_size,missing_outcome_count,mean,median,standard_deviation,trimmed_mean,proportion_positive,minimum,p05,p25,p75,p95,maximum,skewness,excess_kurtosis
3,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,78,0,-0.0022370128713603424,-0.003137863573253126,0.0499237604311874,-0.0035988649016098252,0.46153846153846156,-0.11583315657440404,-0.08578089456425242,-0.0274441670521125,0.020193027618845928,0.07871294093175063,0.17822029095814879,0.5627943102557661,1.9758071183720354
3,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,78,0,-0.0005266952425047126,-3.876248409707614e-05,0.029753226631961654,-0.00016450173079482966,0.5,-0.09327662465248283,-0.05233628013639154,-0.013621000180543638,0.01343826321130975,0.04752315323756938,0.08354193807285967,-0.1749392692923873,1.8361901610468907
3,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,78,0,-0.0017103176288556297,-0.005645272246025172,0.04570774597381641,-0.003131172986390462,0.4358974358974359,-0.09948716760816081,-0.08231281525247759,-0.028972596024135037,0.020849899383019344,0.07062867715343323,0.19937508593014344,1.0152326566734196,4.24122958463648
3,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,118,0,0.004900140265690274,0.0048315496652852905,0.04166355408605744,0.005325094694443933,0.5508474576271186,-0.1663885100468658,-0.05923814682574944,-0.01781820163081046,0.028142046471090382,0.07139379433862886,0.12282824254255639,-0.4176750410155578,2.5856284677030663
3,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,118,0,0.0032763749609885694,-0.0003172973315667257,0.018607015034033482,0.0020503631199612145,0.4915254237288136,-0.039837355014651556,-0.023128839055729045,-0.007723313470658709,0.012599509604012196,0.03471199440631835,0.08114872631448429,1.052467427696165,2.7406528282689795
3,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,118,0,0.0016237653047017052,0.0011149339963468846,0.04084607869746702,0.0019643303493868886,0.5169491525423728,-0.1398658150796836,-0.05751535209922705,-0.021348799787994664,0.0230335217726282,0.06357968564898556,0.12426142671787098,-0.31094593890037125,2.133133965000267
5,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,173,0,0.003760951149214081,0.0009755050179123606,0.05168500229348938,0.002211488940819373,0.5144508670520231,-0.2336508793602154,-0.06391677732856192,-0.02660445892122067,0.02905859339186543,0.0960765874711069,0.19803988066955328,-0.022546666675180113,3.115746542550296
5,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,173,0,0.0021766361934518535,-0.0009148276990219072,0.027798962206479916,0.0022305060807675677,0.4797687861271676,-0.07494924395049815,-0.04015466334146103,-0.013211943827521297,0.02097135425957907,0.04527919499274009,0.12306048310905286,0.21316606903530438,2.0283045196345046
5,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,173,0,0.0015843149557622281,-0.0008878947378266047,0.04578032559586679,-3.828021002504736e-05,0.49710982658959535,-0.16894553988107724,-0.06680449409765975,-0.0243842246901478,0.021682126578453052,0.08533447799635611,0.15365036417662772,0.25648909528961966,1.7367587685460553
5,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,68,0,-0.00010332480448498972,-0.002422740353482848,0.0562936763959141,-0.003076099216958336,0.4852941176470588,-0.11613156622040643,-0.09401909239176161,-0.030624240827951576,0.02454380701309535,0.10661342747455899,0.19803988066955328,0.7507986317743972,1.7748726210208794
5,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,68,0,0.0018366592385813429,-0.0004992411885393231,0.03133323467942135,0.0027415072132855145,0.5,-0.07414569971007443,-0.05225319592356927,-0.018259961208423395,0.023952734950399228,0.04752721928924526,0.07169182280049535,-0.23479342811585233,-0.016485070644376876
5,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,68,0,-0.0019399840430663323,-0.006168295441305394,0.047145183363583816,-0.004353883914173214,0.4411764705882353,-0.12566750315555958,-0.06697368109153849,-0.029431263760701282,0.02084106738079196,0.07940950002388396,0.15365036417662772,0.6370100294882268,1.5826149544225014
5,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,105,0,0.00626352986208586,0.004466354018327443,0.048583377782400454,0.005641925462134078,0.5333333333333333,-0.2336508793602154,-0.05631692918185611,-0.019717979084664994,0.03270179468073155,0.08961789684096338,0.13276279112218095,-0.736686097149612,5.105592658441719
5,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,105,0,0.002396811745177517,-0.0009148276990219072,0.025405728611497216,0.0017682679457082884,0.4666666666666667,-0.07494924395049815,-0.029648798651664886,-0.010388646337237366,0.01665595102375212,0.038956501536751544,0.12306048310905286,0.7597384493551865,4.683026599253572
5,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,105,0,0.003866718116908344,0.001431775149257828,0.044954443353251466,0.0029201409819076753,0.5333333333333333,-0.16894553988107724,-0.06433046522818053,-0.017821621228177754,0.024452153504713695,0.09015124678678335,0.1296872121775507,-0.0021287753737202907,2.172814324529007
10,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,114,0,-0.0014756532783217814,-0.004646014321721376,0.07680470918944077,-0.0030826469160769006,0.4824561403508772,-0.20488289526286432,-0.11536917965561803,-0.03911307547651141,0.038840876427685904,0.12903611748511026,0.25834323966050765,0.36455926016922546,1.4762977318676613
10,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,114,0,0.002647004570049579,0.002729799632783358,0.04047668508776768,0.002540285819497162,0.5789473684210527,-0.14098583822781313,-0.05687066647046122,-0.019293590792645397,0.02418152911418011,0.06390865876240728,0.16258048099614683,0.028469836044803264,2.988015674231802
10,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,114,0,-0.004122657848371359,-0.0057500675736210025,0.06193841202786869,-0.006190336511894737,0.47368421052631576,-0.14733987455664974,-0.09868719081610583,-0.0420538123586507,0.03610427933410119,0.09735832502483743,0.1976871724138212,0.4272246115762349,0.6975618562993624
10,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,52,0,-0.013990636052233133,-0.011940751838425077,0.08814555482261341,-0.01786600870596882,0.40384615384615385,-0.20488289526286432,-0.14704872633202248,-0.06835072884317644,0.017394150642650572,0.13551903591544534,0.25834323966050765,0.5575689266855016,1.1342688014315438
10,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,52,0,-0.0036258725230430113,0.0034716784310992468,0.04372682174551799,-0.0008303055997419748,0.5961538461538461,-0.14098583822781313,-0.07637697326023174,-0.027473584067196244,0.019879734548674734,0.05843410242920892,0.08319114582489384,-0.8305917099262167,1.4624590501611738
10,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,52,0,-0.01036476352919012,-0.021122497696247605,0.06809058922567877,-0.015853671085047746,0.38461538461538464,-0.12222060698217643,-0.108653731304875,-0.05883539522383799,0.027245767900700144,0.1191704696701924,0.1976871724138212,0.8196889310074554,0.7795787248544821
10,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,62,0,0.009020783886894193,0.002847287887599189,0.06470056212865093,0.008076965588504618,0.5483870967741935,-0.1765458564969588,-0.0980656431669197,-0.018060559900748112,0.0459804631885887,0.0990297607753698,0.23287437099283964,0.4051383516673033,2.312687336083747
10,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,62,0,0.007908127293288528,0.002205578898803127,0.037077423913295396,0.004516871853784595,0.5645161290322581,-0.07085017442915799,-0.041942867055585954,-0.015490156521121734,0.02418152911418011,0.0694310340040526,0.16258048099614683,1.3726642824210507,4.1780376406785615
10,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,62,0,0.0011126565936056653,0.010969784448461703,0.05629711324603602,0.002242557711546494,0.5483870967741935,-0.14733987455664974,-0.09015297795035601,-0.03178621707562472,0.0383481553592359,0.07019390159820325,0.18003325033900094,-0.002305172960949806,1.0355359141692144
