horizon,return_specification,peer_definition,method,method_label,outcome,mean,ci_lower,ci_upper,sample_size,experiment_iterations,observed_statistic,observed_sample_size,null_mean,null_standard_deviation,null_iterations,empirical_p_value,percentile_location,alternative
5,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,peer_catchup,-7.451630235969585e-05,-0.0027360333840109,0.0032891712587408,173,200,0.0021766361934518,173,0.000175445246743,0.0021374402616048,500,0.1696606786427145,83.2,greater
10,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,convergence,-0.0019640234688249,-0.0202490335281242,0.0161940475164472,31,500,-0.0014756532783217,114,-0.0019640234688249,0.0094702275392694,500,0.5189620758483033,48.2,greater
10,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,convergence,-0.0014756532783217,-0.0137601705456741,0.011499856290252,114,1000,-0.0014756532783217,114,-0.0019640234688249,0.0094702275392694,500,0.5189620758483033,48.2,greater
10,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,convergence,-0.0014468805886787,-0.0123141988054398,0.0098587351768521,110,200,-0.0014756532783217,114,-0.0019640234688249,0.0094702275392694,500,0.5189620758483033,48.2,greater
10,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,convergence,-0.0050208898455241,-0.011855997222641,0.0020619033529771,115,200,-0.0014756532783217,114,-0.0019640234688249,0.0094702275392694,500,0.5189620758483033,48.2,greater
10,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,initiator_reversal,-0.0025890413448638,-0.0221186643660913,0.0170364263133921,31,500,-0.0041226578483713,114,-0.0025890413448638,0.0099269670440273,500,0.5768463073852296,42.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,initiator_reversal,-0.0041226578483713,-0.0124350540565695,0.0036085801172953,114,1000,-0.0041226578483713,114,-0.0025890413448638,0.0099269670440273,500,0.5768463073852296,42.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,initiator_reversal,-0.0007264358054412,-0.0110893620287662,0.0086596784883102,110,200,-0.0041226578483713,114,-0.0025890413448638,0.0099269670440273,500,0.5768463073852296,42.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,initiator_reversal,-0.0041704748857685,-0.008919163598449,0.0006896375868741,115,200,-0.0041226578483713,114,-0.0025890413448638,0.0099269670440273,500,0.5768463073852296,42.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,peer_catchup,0.0006250178760388,-0.0083230665385157,0.0106122728794859,31,500,0.0026470045700495,114,0.0006250178760388,0.0048663640838101,500,0.3073852295409182,69.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,peer_catchup,0.0026470045700495,-0.0052586933766546,0.0114855859255451,114,1000,0.0026470045700495,114,0.0006250178760388,0.0048663640838101,500,0.3073852295409182,69.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,peer_catchup,-0.0007204447832374,-0.0079721164824243,0.0062882915476652,110,200,0.0026470045700495,114,0.0006250178760388,0.0048663640838101,500,0.3073852295409182,69.4,greater
10,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,peer_catchup,-0.0008504149597556,-0.0051179587450521,0.0041824736147629,115,200,0.0026470045700495,114,0.0006250178760388,0.0048663640838101,500,0.3073852295409182,69.4,greater
