variation_type,specification,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label,status,notes
event_threshold,4_sigma,1,peer_catchup,157,157,0.0025296409759762027,0.0008871838869458915,-0.00064570665226261,0.005704988604215016,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,1,initiator_reversal,157,157,0.0038688652515408385,0.0021967548806017412,-0.002127196128843824,0.009864926631925501,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,3,convergence,133,133,-0.0011183473086471738,0.0010220149157881258,-0.00851652283903227,0.006279828221737923,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,3,peer_catchup,133,133,0.0002928793797459873,-0.0009387113256019829,-0.0037784811254965023,0.004364239884988477,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,3,initiator_reversal,133,133,-0.0014112266883931598,-0.0025741266853513134,-0.00824978577314688,0.0054273323963605615,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,5,convergence,117,117,0.0003984122544321334,-0.004408401013083817,-0.0084585224626912,0.009255346971555467,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,5,peer_catchup,117,117,0.0014977343765547383,-0.0016539303094948313,-0.0034944687406041706,0.0064899374937136475,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,5,initiator_reversal,117,117,-0.0010993221221226057,-0.002430861021600457,-0.008715097333876445,0.006516453089631233,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,10,convergence,74,74,-0.004069399451437838,-0.004965174839147574,-0.021895823324205102,0.013757024421329428,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,10,peer_catchup,74,74,0.003871715709889678,0.003278203144269279,-0.005419587685535254,0.01316301910531461,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,10,initiator_reversal,74,74,-0.007941115161327518,-0.007104536149476857,-0.021448802714061063,0.005566572391406028,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,20,convergence,16,16,-0.006162348012449331,0.0020805157803592267,-0.07867613248418416,0.0663514364592855,small_sample_descriptive_only,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,20,peer_catchup,16,16,-0.022628418588721146,-0.03984868719775804,-0.057394491611294875,0.012137654433852584,small_sample_descriptive_only,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,4_sigma,20,initiator_reversal,16,16,0.016466070576271825,0.034352426177868545,-0.03850241777037687,0.07143455892292053,small_sample_descriptive_only,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
return_definition,raw_returns,1,convergence,226,226,0.005396311130180536,0.002442522587469474,0.00016727007654927534,0.010625352183811797,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
