group,relative_day,outcome,sample_size,mean,ci_lower,ci_upper,sample_label
equipment,2,peer_car,55,-0.0022069284379178365,-0.007085666795476231,0.0026718099196405584,adequate_analysis_sample
equipment,2,initiator_car,55,0.0006157268262152983,-0.007048299495313048,0.008279753147743645,adequate_analysis_sample
equipment,2,peer_catchup,55,0.005369393803633405,0.0006769942663163398,0.010061793340950469,adequate_analysis_sample
equipment,2,initiator_reversal,55,-0.004714860515424603,-0.012272030307820973,0.0028423092769717688,adequate_analysis_sample
equipment,2,convergence,55,0.0006545332882088021,-0.00856383068209331,0.009872897258510916,adequate_analysis_sample
equipment,3,peer_car,52,0.002975069598585472,-0.0016509010971429423,0.007601040294313886,adequate_analysis_sample
equipment,3,initiator_car,52,-0.0022342402903585625,-0.010863432269422485,0.006394951688705361,adequate_analysis_sample
equipment,3,peer_catchup,52,0.008991651844467465,0.005028100841014077,0.012955202847920852,adequate_analysis_sample
equipment,3,initiator_reversal,52,-0.001745133960089578,-0.010383233750643792,0.0068929658304646355,adequate_analysis_sample
equipment,3,convergence,52,0.007246517884377886,-0.0024570428814390793,0.01695007865019485,adequate_analysis_sample
equipment,4,peer_car,50,0.0009488381342718507,-0.003660002297868951,0.005557678566412653,adequate_analysis_sample
equipment,4,initiator_car,50,-0.003817584507327888,-0.012962567599199585,0.005327398584543808,adequate_analysis_sample
equipment,4,peer_catchup,50,0.006716591091994997,0.0025216415989000006,0.010911540585089993,adequate_analysis_sample
equipment,4,initiator_reversal,50,-0.00031111463719234926,-0.009521102034047092,0.008898872759662394,adequate_analysis_sample
equipment,4,convergence,50,0.006405476454802645,-0.0029509265022323768,0.015761879411837668,adequate_analysis_sample
equipment,5,peer_car,47,0.0004757675829399487,-0.00527626763899133,0.006227802804871226,adequate_analysis_sample
equipment,5,initiator_car,47,0.00018208128587380958,-0.009060606280251654,0.009424768851999273,adequate_analysis_sample
equipment,5,peer_catchup,47,0.008019224082550762,0.002780759978961778,0.013257688186139746,adequate_analysis_sample
equipment,5,initiator_reversal,47,-0.004886507675186281,-0.014014869386390086,0.004241854036017525,adequate_analysis_sample
equipment,5,convergence,47,0.003132716407364478,-0.005973007476226018,0.012238440290954973,adequate_analysis_sample
equipment,6,peer_car,41,0.00436524712078884,-0.002620039129384759,0.011350533370962439,adequate_analysis_sample
equipment,6,initiator_car,41,-0.002007798056295681,-0.012866450440632013,0.00885085432804065,adequate_analysis_sample
equipment,6,peer_catchup,41,0.010269270605419488,0.003947015137222126,0.01659152607361685,adequate_analysis_sample
equipment,6,initiator_reversal,41,-0.002380926446254774,-0.013231876009881596,0.00847002311737205,adequate_analysis_sample
equipment,6,convergence,41,0.007888344159164713,-0.0027075924364565723,0.018484280754785996,adequate_analysis_sample
equipment,7,peer_car,37,0.0035699749376130476,-0.0031049172424233167,0.010244867117649412,adequate_analysis_sample
equipment,7,initiator_car,37,-0.0053610364657740266,-0.017153494522561392,0.006431421591013339,adequate_analysis_sample
equipment,7,peer_catchup,37,0.008055072550318348,0.0018424232377014316,0.014267721862935265,adequate_analysis_sample
equipment,7,initiator_reversal,37,-0.002366089559554444,-0.014270130248330118,0.009537951129221229,adequate_analysis_sample
equipment,7,convergence,37,0.005688982990763904,-0.005153924323972693,0.0165318903055005,adequate_analysis_sample
equipment,8,peer_car,33,0.0037369925258754137,-0.0038101153156146973,0.011284100367365525,adequate_analysis_sample
equipment,8,initiator_car,33,-0.006910302243044682,-0.019945942401296837,0.006125337915207476,adequate_analysis_sample
equipment,8,peer_catchup,33,0.011131305612635476,0.004596477118033343,0.017666134107237608,adequate_analysis_sample
equipment,8,initiator_reversal,33,-0.0034427588632382003,-0.016655731376773415,0.009770213650297014,adequate_analysis_sample
equipment,8,convergence,33,0.007688546749397274,-0.005104076704768272,0.02048117020356282,adequate_analysis_sample
equipment,9,peer_car,24,0.001004994717294683,-0.008050301778678123,0.010060291213267488,small_sample_descriptive_only
equipment,9,initiator_car,24,-0.013441441348001517,-0.02985417540496177,0.002971292708958734,small_sample_descriptive_only
equipment,9,peer_catchup,24,0.013614403958117235,0.0067078844476406935,0.02052092346859378,small_sample_descriptive_only
equipment,9,initiator_reversal,24,-0.00815112513762967,-0.025199045118978955,0.008896794843719615,small_sample_descriptive_only
equipment,9,convergence,24,0.005463278820487566,-0.011424527130532752,0.022351084771507882,small_sample_descriptive_only
equipment,10,peer_car,22,-0.002801377231384421,-0.012216607583696852,0.00661385312092801,small_sample_descriptive_only
equipment,10,initiator_car,22,-0.012026643660718301,-0.031180157222092553,0.007126869900655948,small_sample_descriptive_only
equipment,10,peer_catchup,22,0.011753715837552931,0.0038916671098835655,0.019615764565222297,small_sample_descriptive_only
equipment,10,initiator_reversal,22,-0.011010098045239947,-0.030289097597881804,0.00826890150740191,small_sample_descriptive_only
equipment,10,convergence,22,0.000743617792312987,-0.01955881735429176,0.021046052938917734,small_sample_descriptive_only
