grouping,group,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label
subsector_full_disclosure,foundry,5,initiator_reversal,24,24,0.009127650973574477,0.000996842217427801,-0.014143691883443043,0.032398993830592,small_sample_descriptive_only
subsector_full_disclosure,foundry,5,convergence,24,24,0.010761396768522972,0.007330186702833268,-0.009294147244979447,0.03081694078202539,small_sample_descriptive_only
subsector_full_disclosure,foundry,10,peer_car,23,23,0.005702319005838447,0.008412923730338124,-0.013660529212721673,0.02506516722439857,small_sample_descriptive_only
subsector_full_disclosure,foundry,10,initiator_car,23,23,-0.0032527206785564027,-0.016175990192916302,-0.028971575784062467,0.022466134426949662,small_sample_descriptive_only
subsector_full_disclosure,foundry,10,peer_catchup,23,23,0.002226903518613012,-0.003938900122006355,-0.017274565359161012,0.021728372396387037,small_sample_descriptive_only
subsector_full_disclosure,foundry,10,initiator_reversal,23,23,0.00932985040348736,0.01704406714743907,-0.016096722246664454,0.03475642305363918,small_sample_descriptive_only
subsector_full_disclosure,foundry,10,convergence,23,23,0.011556753922100373,0.002596953024005609,-0.01487396748000675,0.037987475324207494,small_sample_descriptive_only
subsector_full_disclosure,semiconductor_equipment,1,peer_car,58,58,0.0024492033240067633,-0.000256221641913301,-0.0018057022148899311,0.006704108862903457,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,1,initiator_car,58,58,-0.006064437395809034,-0.005360029534511103,-0.011325881537167293,-0.0008029932544507739,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,1,peer_catchup,58,58,0.0094268968315233,0.00875023652810569,0.005923385497312518,0.012930408165734084,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,1,initiator_reversal,58,58,0.0019123241924260614,0.0025580787799749246,-0.003566066821407121,0.007390715206259243,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,1,convergence,58,58,0.011339221023949365,0.00988107653569208,0.004751838875579776,0.017926603172318954,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,5,peer_car,47,47,0.0004757675829399491,-0.003328870848318214,-0.005276267638991329,0.006227802804871227,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,5,initiator_car,47,47,0.00018208128587380876,-0.0002544085369748962,-0.009060606280251654,0.009424768851999273,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,5,peer_catchup,47,47,0.008019224082550763,0.01096323573613742,0.0027807599789617804,0.013257688186139746,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,5,initiator_reversal,47,47,-0.004886507675186282,-0.0009648813533239854,-0.014014869386390088,0.004241854036017524,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,5,convergence,47,47,0.0031327164073644788,0.0037228632557853164,-0.005973007476226017,0.012238440290954975,adequate_analysis_sample
subsector_full_disclosure,semiconductor_equipment,10,peer_car,22,22,-0.002801377231384421,-0.004443279200023584,-0.012216607583696852,0.00661385312092801,small_sample_descriptive_only
subsector_full_disclosure,semiconductor_equipment,10,initiator_car,22,22,-0.012026643660718296,-0.021014113087041885,-0.03118015722209255,0.007126869900655957,small_sample_descriptive_only
subsector_full_disclosure,semiconductor_equipment,10,peer_catchup,22,22,0.011753715837552931,0.012198810008535316,0.0038916671098835672,0.019615764565222293,small_sample_descriptive_only
subsector_full_disclosure,semiconductor_equipment,10,initiator_reversal,22,22,-0.011010098045239948,-0.010923347988257223,-0.030289097597881807,0.008268901507401913,small_sample_descriptive_only
subsector_full_disclosure,semiconductor_equipment,10,convergence,22,22,0.0007436177923129859,-0.007444847005528333,-0.019558817354291762,0.02104605293891773,small_sample_descriptive_only
