peer_definition,horizon,outcome,event_count,sample_size,mean,median,standard_deviation,minimum,maximum,proportion_positive,ci_lower,ci_upper,confidence_level,sample_label
economic_subsector_peers,5,initiator_reversal,173,173,0.0015843149557622281,-0.0008878947378266047,0.04578032559586679,-0.16894553988107724,0.15365036417662772,0.49710982658959535,-0.005285901951434516,0.008454531862958973,0.95,adequate_descriptive_sample
economic_subsector_peers,10,convergence,114,114,-0.0014756532783217814,-0.004646014321721376,0.07680470918944077,-0.20488289526286432,0.25834323966050765,0.4824561403508772,-0.01572711587556608,0.01277580931892252,0.95,adequate_descriptive_sample
economic_subsector_peers,10,peer_catchup,114,114,0.002647004570049579,0.002729799632783358,0.04047668508776768,-0.14098583822781313,0.16258048099614683,0.5789473684210527,-0.004863628172090453,0.01015763731218961,0.95,adequate_descriptive_sample
economic_subsector_peers,10,initiator_reversal,114,114,-0.004122657848371359,-0.0057500675736210025,0.06193841202786869,-0.14733987455664974,0.1976871724138212,0.47368421052631576,-0.01561561149227675,0.007370295795534032,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,1,convergence,234,234,0.00032053510102275304,-0.0006016871635323769,0.03664652278855955,-0.11013781934055074,0.2737458557562174,0.47863247863247865,-0.004399384811438942,0.005040455013484448,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,1,peer_catchup,234,234,-0.002210275762542412,-0.001719995580708521,0.01278361686298447,-0.05702699396120087,0.02805594235264467,0.41452991452991456,-0.0038567525137750813,-0.0005637990113097427,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,1,initiator_reversal,234,234,0.0025308108635651635,0.001126912455656722,0.036889700133727235,-0.10321230645005977,0.26805245177235193,0.5256410256410257,-0.0022204292808415613,0.007282051007971888,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,3,convergence,221,221,-0.0020265692705301415,-0.001075315966089284,0.042199990053235575,-0.1551462240729255,0.21430162928237012,0.4660633484162896,-0.007621052775828441,0.003567914234768158,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,3,peer_catchup,221,221,-0.0027263038867896675,-0.0021133199600248363,0.014530574804711425,-0.05480339250905819,0.03381807604349023,0.4298642533936652,-0.0046526328021498815,-0.0007999749714294531,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,3,initiator_reversal,221,221,0.000699734616259526,-0.0015109478784155056,0.04177890338384306,-0.1398658150796836,0.19937508593014344,0.48868778280542985,-0.004838925121705047,0.006238394354224098,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,5,convergence,213,213,0.001532109747489133,-0.0026916811996998027,0.049281654064498664,-0.18957496334767499,0.17326956077993608,0.460093896713615,-0.005124144661557443,0.008188364156535708,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,5,peer_catchup,213,213,-0.0019144347766645645,-0.0019210123875201806,0.01631806405637113,-0.05442849044980156,0.047550666430565616,0.4460093896713615,-0.004118443304466192,0.0002895737511370629,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,5,initiator_reversal,213,213,0.003446544524153698,-0.0008878947378266047,0.047674395651684125,-0.16894553988107724,0.16443893790673156,0.49765258215962443,-0.002992624620612335,0.009885713668919731,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,10,convergence,177,177,-0.005108630886379628,-0.006017287609211282,0.0654774645584673,-0.23562739449255643,0.23169135195356275,0.4463276836158192,-0.014821553288480189,0.004604291515720934,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,10,peer_catchup,177,177,-0.0008537228286296151,-0.000793894888437327,0.020676452588313732,-0.07024677463121821,0.05264328680072797,0.4745762711864407,-0.0039208663244147185,0.0022134206671554878,0.95,adequate_descriptive_sample
trailing_return_similarity_peers,10,initiator_reversal,177,177,-0.004254908057750015,-0.006048294292727557,0.06241988023911744,-0.2653562408298891,0.1976871724138212,0.4632768361581921,-0.013514268620949406,0.005004452505449376,0.95,adequate_descriptive_sample
