variation_type,specification,horizon,notes,convergence_mean,peer_catchup_mean,convergence_ci_lower,peer_catchup_ci_lower,convergence_ci_upper,peer_catchup_ci_upper,convergence_sample_size,peer_catchup_sample_size,convergence_event_count,peer_catchup_event_count,convergence_status,peer_catchup_status
peer_advantage_horizon,economic_minus_correlation,3,paired common-event economic minus trailing-correlation peers; 10000 event bootstrap draws,0.006145595098144168,0.006145595098144168,0.002605573481049149,0.002494833948589159,0.00975418891811862,0.009699550026926103,163,163,163,163,estimated_pre_specified,estimated_pre_specified
peer_advantage_horizon,economic_minus_correlation,5,paired common-event economic minus trailing-correlation peers; 10000 event bootstrap draws,0.0060992586830612636,0.006099258683061265,0.0015885185332503995,0.0016701486862644446,0.010483000021106163,0.010584441160398202,131,131,131,131,estimated_pre_specified,estimated_pre_specified
peer_advantage_horizon,economic_minus_correlation,10,paired common-event economic minus trailing-correlation peers; 10000 event bootstrap draws,0.0073189566000945085,0.0073189566000945085,-0.0021481862520111488,-0.0020956147856250845,0.016829824378938225,0.017045358144878963,62,62,62,62,estimated_pre_specified,estimated_pre_specified
peer_advantage_horizon,economic_minus_correlation,20,paired common-event economic minus trailing-correlation peers; 10000 event bootstrap draws,-8.952766502838896e-05,-8.95276650283959e-05,-0.008129013124687084,-0.008129013124687098,0.007949957794630307,0.007949957794630307,2,2,2,2,estimated_pre_specified,estimated_pre_specified
peer_weighting,equal_weighted,1,frozen baseline economic peers,0.0053963111301805365,0.0026150612839820784,0.0001672700765492762,0.0001812533690753169,0.010625352183811797,0.00504886919888884,226,226,226,226,estimated_exploratory,estimated_exploratory
peer_weighting,equal_weighted,3,frozen baseline economic peers,0.00205984462951707,0.001762908247353488,-0.00429961911408659,-0.0015730388695140312,0.00841930837312073,0.005098855364221007,196,196,196,196,estimated_exploratory,estimated_exploratory
peer_weighting,equal_weighted,5,frozen baseline economic peers,0.003760951149214081,0.0021766361934518526,-0.003995375875189864,-0.0019951318677767123,0.011517278173618027,0.006348404254680418,173,173,173,173,estimated_exploratory,estimated_exploratory
peer_weighting,equal_weighted,10,frozen baseline economic peers,-0.001475653278321781,0.002647004570049579,-0.01572711587556608,-0.004863628172090453,0.01277580931892252,0.01015763731218961,114,114,114,114,estimated_exploratory,estimated_exploratory
peer_weighting,equal_weighted,20,frozen baseline economic peers,0.005218087314219023,-0.013312708568917725,-0.04277756447585767,-0.03701126052197665,0.053213739104295714,0.010385843384141197,30,30,30,30,estimated_exploratory,estimated_exploratory
peer_weighting,market_cap_weighted,1,market capitalization is entirely unavailable in the frozen inputs,,,,,,,0,0,0,0,unavailable,unavailable
peer_weighting,market_cap_weighted,3,market capitalization is entirely unavailable in the frozen inputs,,,,,,,0,0,0,0,unavailable,unavailable
peer_weighting,market_cap_weighted,5,market capitalization is entirely unavailable in the frozen inputs,,,,,,,0,0,0,0,unavailable,unavailable
peer_weighting,market_cap_weighted,10,market capitalization is entirely unavailable in the frozen inputs,,,,,,,0,0,0,0,unavailable,unavailable
peer_weighting,market_cap_weighted,20,market capitalization is entirely unavailable in the frozen inputs,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,market_adjusted,1,no broad-market benchmark exists in the frozen Stage 11D dataset,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,market_adjusted,3,no broad-market benchmark exists in the frozen Stage 11D dataset,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,market_adjusted,5,no broad-market benchmark exists in the frozen Stage 11D dataset,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,market_adjusted,10,no broad-market benchmark exists in the frozen Stage 11D dataset,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,market_adjusted,20,no broad-market benchmark exists in the frozen Stage 11D dataset,,,,,,,0,0,0,0,unavailable,unavailable
return_definition,raw_returns,1,common frozen baseline event sample,0.005396311130180536,0.0027822586438379375,0.00016727007654927534,-0.0016829804334256887,0.010625352183811797,0.007247497721101564,226,226,226,226,estimated_exploratory,estimated_exploratory
return_definition,raw_returns,3,common frozen baseline event sample,0.0020598446295170695,0.004132108131535899,-0.004299619114086591,-0.003062728316569358,0.008419308373120729,0.011326944579641157,196,196,196,196,estimated_exploratory,estimated_exploratory
return_definition,raw_returns,5,common frozen baseline event sample,0.00376095114921408,0.005569437556695678,-0.003995375875189866,-0.0031188266719591974,0.011517278173618025,0.014257701785350553,173,173,173,173,estimated_exploratory,estimated_exploratory
return_definition,raw_returns,10,common frozen baseline event sample,-0.0014756532783217822,0.0034877097594594444,-0.01572711587556608,-0.009479353872824718,0.012775809318922518,0.01645477339174361,114,114,114,114,estimated_exploratory,estimated_exploratory
return_definition,raw_returns,20,common frozen baseline event sample,0.005218087314219032,-0.002080056934488561,-0.04277756447585766,-0.035729093268174035,0.05321373910429572,0.031568979399196916,30,30,30,30,estimated_exploratory,estimated_exploratory
return_definition,semiconductor_factor_adjusted,1,common frozen baseline event sample,0.0053963111301805365,0.0026150612839820784,0.0001672700765492762,0.0001812533690753169,0.010625352183811797,0.00504886919888884,226,226,226,226,estimated_exploratory,estimated_exploratory
return_definition,semiconductor_factor_adjusted,3,common frozen baseline event sample,0.00205984462951707,0.001762908247353488,-0.00429961911408659,-0.0015730388695140312,0.00841930837312073,0.005098855364221007,196,196,196,196,estimated_exploratory,estimated_exploratory
return_definition,semiconductor_factor_adjusted,5,common frozen baseline event sample,0.003760951149214081,0.0021766361934518526,-0.003995375875189864,-0.0019951318677767123,0.011517278173618027,0.006348404254680418,173,173,173,173,estimated_exploratory,estimated_exploratory
return_definition,semiconductor_factor_adjusted,10,common frozen baseline event sample,-0.001475653278321781,0.002647004570049579,-0.01572711587556608,-0.004863628172090453,0.01277580931892252,0.01015763731218961,114,114,114,114,estimated_exploratory,estimated_exploratory
return_definition,semiconductor_factor_adjusted,20,common frozen baseline event sample,0.005218087314219023,-0.013312708568917725,-0.04277756447585767,-0.03701126052197665,0.053213739104295714,0.010385843384141197,30,30,30,30,estimated_exploratory,estimated_exploratory
universe,core,1,uses point-in-time Stage 11D eligibility flags,0.0053963111301805365,0.0026150612839820784,0.0001672700765492762,0.0001812533690753169,0.010625352183811797,0.00504886919888884,226,226,226,226,estimated_exploratory,estimated_exploratory
universe,core,3,uses point-in-time Stage 11D eligibility flags,0.00205984462951707,0.001762908247353488,-0.00429961911408659,-0.0015730388695140312,0.00841930837312073,0.005098855364221007,196,196,196,196,estimated_exploratory,estimated_exploratory
universe,core,5,uses point-in-time Stage 11D eligibility flags,0.003760951149214081,0.0021766361934518526,-0.003995375875189864,-0.0019951318677767123,0.011517278173618027,0.006348404254680418,173,173,173,173,estimated_exploratory,estimated_exploratory
universe,core,10,uses point-in-time Stage 11D eligibility flags,-0.001475653278321781,0.002647004570049579,-0.01572711587556608,-0.004863628172090453,0.01277580931892252,0.01015763731218961,114,114,114,114,estimated_exploratory,estimated_exploratory
universe,core,20,uses point-in-time Stage 11D eligibility flags,0.005218087314219023,-0.013312708568917725,-0.04277756447585767,-0.03701126052197665,0.053213739104295714,0.010385843384141197,30,30,30,30,estimated_exploratory,estimated_exploratory
universe,core_plus_extension,1,uses point-in-time Stage 11D eligibility flags,0.005826384437432038,0.0005681921364517762,0.0020976041350873886,-0.0009543570650481553,0.009555164739776687,0.0020907413379517075,416,416,416,416,estimated_exploratory,estimated_exploratory
universe,core_plus_extension,3,uses point-in-time Stage 11D eligibility flags,0.009129089747302588,0.0016112208748491168,0.004007118583900996,-0.00041995374033937166,0.01425106091070418,0.003642395490037605,353,353,353,353,estimated_exploratory,estimated_exploratory
universe,core_plus_extension,5,uses point-in-time Stage 11D eligibility flags,0.01208733760369575,0.0019030380018246367,0.005651050116362442,-0.0008536418485873009,0.018523625091029058,0.0046597178522365746,309,309,309,309,estimated_exploratory,estimated_exploratory
universe,core_plus_extension,10,uses point-in-time Stage 11D eligibility flags,0.0032544209291188557,0.004894549724217365,-0.008552561817737253,-0.00030760218671875995,0.015061403675974964,0.010096701635153488,174,174,174,174,estimated_exploratory,estimated_exploratory
universe,core_plus_extension,20,uses point-in-time Stage 11D eligibility flags,0.023440329627471754,0.003811382934865891,-0.010734443657363296,-0.010885498465478025,0.0576151029123068,0.018508264335209808,48,48,48,48,estimated_exploratory,estimated_exploratory
universe,excluding_questionable,1,identical to core: reviewed universe contains zero questionable securities,0.0053963111301805365,0.0026150612839820784,0.0001672700765492762,0.0001812533690753169,0.010625352183811797,0.00504886919888884,226,226,226,226,estimated_exploratory,estimated_exploratory
universe,excluding_questionable,3,identical to core: reviewed universe contains zero questionable securities,0.00205984462951707,0.001762908247353488,-0.00429961911408659,-0.0015730388695140312,0.00841930837312073,0.005098855364221007,196,196,196,196,estimated_exploratory,estimated_exploratory
universe,excluding_questionable,5,identical to core: reviewed universe contains zero questionable securities,0.003760951149214081,0.0021766361934518526,-0.003995375875189864,-0.0019951318677767123,0.011517278173618027,0.006348404254680418,173,173,173,173,estimated_exploratory,estimated_exploratory
universe,excluding_questionable,10,identical to core: reviewed universe contains zero questionable securities,-0.001475653278321781,0.002647004570049579,-0.01572711587556608,-0.004863628172090453,0.01277580931892252,0.01015763731218961,114,114,114,114,estimated_exploratory,estimated_exploratory
universe,excluding_questionable,20,identical to core: reviewed universe contains zero questionable securities,0.005218087314219023,-0.013312708568917725,-0.04277756447585767,-0.03701126052197665,0.053213739104295714,0.010385843384141197,30,30,30,30,estimated_exploratory,estimated_exploratory
